model,step,score,reward,fires
Dueling Double DQN,98938,-46.0,-156.3197610946368,23
Dueling Double DQN,99167,-64.0,-174.3013386716775,32
Dueling Double DQN,99396,-84.0,-194.31400267041008,42
Dueling Double DQN,99625,-56.0,-166.28982182684848,38
Dueling Double DQN,99854,-64.0,-174.2776901678895,32
Dueling Double DQN,100083,-64.0,-174.29007099204,32
Dueling Double DQN,100312,-76.0,-186.29947354417982,38
Dueling Double DQN,100541,-58.0,-168.29457274639987,29
Dueling Double DQN,100770,-78.0,-188.29692731068005,39
Dueling Double DQN,100999,-74.0,-184.29636738561237,37
Dueling Double DQN,101228,-62.0,-172.3030206709388,31
Dueling Double DQN,101457,-42.0,-152.30545477889194,31
Dueling Double DQN,101686,-36.0,-146.02028900326349,28
Dueling Double DQN,101915,-54.0,-164.3050142169034,27
Dueling Double DQN,102144,-10.0,-120.30654413703431,25
Dueling Double DQN,102373,-48.0,-158.29515963251433,24
Dueling Double DQN,102602,-52.0,-162.28752814220348,26
Dueling Double DQN,102831,-44.0,-154.2936415224054,32
Dueling Double DQN,103060,-58.0,-168.30785725954257,29
Dueling Double DQN,103289,-62.0,-172.29774495688957,31
Dueling Double DQN,103518,-28.0,-138.28928884773788,34
Dueling Double DQN,103747,-40.0,-150.3084765971269,30
Dueling Double DQN,103976,-56.0,-166.29223894555224,28
Dueling Double DQN,104205,-54.0,-164.31162900810736,37
Dueling Double DQN,104434,-58.0,-168.16876929517954,29
Dueling Double DQN,104663,-56.0,-166.2832945897988,28
Dueling Double DQN,104892,-74.0,-184.30662373265412,37
Dueling Double DQN,105121,-66.0,-176.30034511131944,33
Dueling Double DQN,105350,-72.0,-182.2780973621181,36
Dueling Double DQN,105579,-68.0,-178.29854822691186,34
Dueling Double DQN,105808,-58.0,-168.28510155143113,39
Dueling Double DQN,106037,-76.0,-186.29752133333886,38
Dueling Double DQN,106266,-34.0,-144.27600136175923,27
Dueling Double DQN,106495,-36.0,-146.29529248948734,28
Dueling Double DQN,106724,-40.0,-150.31307199071446,20
Dueling Double DQN,106953,-60.0,-170.28725598252092,40
Dueling Double DQN,107182,-30.0,-140.3003979151011,25
Dueling Double DQN,107411,-88.0,-198.31386053343215,44
Dueling Double DQN,107640,-66.0,-176.2922018067849,43
Dueling Double DQN,107869,-62.0,-172.29962534597303,31
Dueling Double DQN,108098,-62.0,-172.2979135999371,41
Dueling Double DQN,108327,-46.0,-156.29547549375698,33
Dueling Double DQN,108556,-80.0,-190.29978808126504,40
Dueling Double DQN,108785,-44.0,-154.29390306730812,22
Dueling Double DQN,109014,-60.0,-170.30464231515373,30
Dueling Double DQN,109243,-60.0,-170.2992848728821,30
Dueling Double DQN,109472,-52.0,-162.3056432809582,26
Dueling Double DQN,109701,-52.0,-162.29198173604988,26
Dueling Double DQN,109930,-30.0,-140.29224922006674,25
